,Real,Predito
1323,43896.37630000002,45825.35366535238
1097,1674.6323000000002,2292.9612091903423
1074,13204.285649999989,13323.205260765142
739,44585.455870000034,39872.74542169732
1271,3021.809150000001,3466.3829142939944
218,3392.976799999997,3739.9123040704153
464,1632.03625,1643.2968661588993
1235,2699.568350000001,2938.3958737052744
306,20177.67112999998,4328.983584520844
1083,4076.4969999999994,4283.415992871251
438,12592.534500000002,13864.603124543073
410,1621.3402000000003,1624.6679935451652
855,1875.344,2141.4331493774725
243,7196.867000000004,7489.642330046488
1043,3161.4540000000015,3534.007203703126
371,12029.28670000001,11557.688013361867
168,2719.2797499999992,3424.550500580526
858,18218.161389999994,4042.8055865645097
715,12146.971000000005,13024.941186242382
1270,3292.529849999999,4799.176952802905
900,8688.858849999997,9271.3971875612
708,6113.231049999995,6657.744603707516
54,8059.6790999999985,7917.783073507451
370,13415.03809999999,14017.302517602371
741,18246.495500000008,19852.461565549638
109,47055.53209999997,46707.18586440297
575,12222.898300000008,12243.785142300527
535,6067.126749999996,5937.050247067335
543,63770.428010000054,46950.78788032624
846,9872.701,9949.764184805754
